url,title,studio,rating,runtime,cast,director,genre,summary,awards,metascore,userscore,RelDate
https://www.metacritic.com/movie/!women-art-revolution,!Women Art Revolution,Hotwire Productions,| Not Rated,83,,Lynn Hershman-Leeson,Documentary,,,70,,01/06/2011
https://www.metacritic.com/movie/10-cloverfield-lane,10 Cloverfield Lane,Paramount Pictures,| PG-13,104,"John Gallagher Jr.,John Goodman,Mary Elizabeth Winstead",Dan Trachtenberg,"Action,Sci-Fi,Drama,Mystery,Thriller,Horror","Waking up from a car accident, a young woman (Mary Elizabeth Winstead) finds herself in the basement of a man who says he's saved her life from a chemical attack that has left the outside uninhabitable.","#18MostDiscussedMovieof2016 , #1MostSharedMovieof2016",76,7.7,11/03/2016
https://www.metacritic.com/movie/10-items-or-less,10 Items or Less,Click Star,| R,82,"Jonah Hill,Morgan Freeman,Paz Vega",Brad Silberling,"Drama,Comedy,Romance","While researching a role as a supermarket manager, a major movie star (Freeman) befriends a feisty store clerk (Vega), and the initially mismatched pair soon discovers common ground.",,54,5.8,01/12/2006
https://www.metacritic.com/movie/10-years,10 Years,Anchor Bay Entertainment,| R,100,"Channing Tatum,Chris Pratt,Jenna Dewan",Jamie Linden,"Drama,Comedy,Romance",,,61,6.9,14/09/2012
https://www.metacritic.com/movie/100-bloody-acres,100 Bloody Acres,Music Box Films,| Not Rated,91,,Cameron Cairnes,"Horror,Comedy","Reg and Lindsay run an organic fertilizer business. They need a fresh supply of their ""secret ingredient"" to process through the meat grinder. Reg comes across two guys and a girl with a broken-down vehicle on their way to a music festival.",,63,7.5,28/06/2013
https://www.metacritic.com/movie/100-streets,100 Streets,Samuel Goldwyn Films,,93,,Jim O'Hanlon,Drama,,,44,6.1,13/01/2017
https://www.metacritic.com/movie/1000-times-good-night,"1,000 Times Good Night",Film Movement,| Not Rated,117,,Erik Poppe,Drama,,,57,6.8,24/10/2014
https://www.metacritic.com/movie/10000-bc,"10,000 BC",Warner Bros. Pictures,| PG-13,109,"Camilla Belle,Marco Khan,Steven Strait",Roland Emmerich,"Adventure,Drama,Fantasy",,"#23MostDiscussedMovieof2008 , #27MostSharedMovieof2008",34,4.6,07/03/2008
https://www.metacritic.com/movie/10000-km,"10,000 km",Broad Green Pictures,| R,99,,Carlos Marques-Marcet,"Drama,Comedy,Romance","Two people in love, two apartments - one in Barcelona, the other in Los Angeles - and the images of their past, present and future. Can love survive 10,000 km?",,75,7.4,10/07/2015
https://www.metacritic.com/movie/1001-grams,1001 Grams,Kino Lorber,| Not Rated,93,,Bent Hamer,Drama,"When Norwegian scientist Marie attends a seminar in Paris on the actual weight of a kilo, it is her own measurement of disappointment, grief and, not least, love, that ends up on the scale. Finally Marie is forced to come to terms with how much a human l",,65,,08/05/2015
https://www.metacritic.com/movie/101-reykjavik,ReykjavÃ­k,Menemsha Entertainment,| Not Rated,88,"Hilmir SnÃ¦r GuÃ°nason,Victoria Abril",Baltasar KormÃ¡kur,"Comedy,Romance","A young man's sexual impulses go haywire when he discovers that the woman he has just been to bed with happens to be his mother's lesbian lover, and may be carrying his child.  (101 ltd.)",,68,5.4,25/07/2001
https://www.metacritic.com/movie/102-dalmatians,102 Dalmatians,Buena Vista Pictures,| G,100,"GÃ©rard Depardieu,Glenn Close",Kevin Lima,"Comedy,Family","Just when it seemed safe to come out of the kennel, Cruella De Vil is back and this time she's not alone.  (Walt Disney Pictures)",#73MostDiscussedMovieof2000,35,5.1,22/11/2000
https://www.metacritic.com/movie/10th-wolf,10th & Wolf,THINKFilm,| R,107,"Brad Renfro,Giovanni Ribisi,James Marsden",Robert Moresco,"Drama,Mystery,Thriller,Crime","A Philadelphia mob war is the backdrop of 10th and Wolf, a mythic story that tests the boundaries of loyalty versus betrayal, good versus evil, innocence versus corruption.  (ThinkFilm)",,36,6.7,18/08/2006
https://www.metacritic.com/movie/11-flowers,11 Flowers,First Run Features,| Not Rated,110,,Xiaoshuai Wang,Drama,"When 11-year-old Wang is selected to lead his school through their daily gymnastic regimen, his teacher recommends that he wear a clean, new shirt in honor of this important position.  This request forces his family to make a great sacrifice and changes",,71,,22/02/2013
https://www.metacritic.com/movie/11-minutes,11 Minutes,IFC Films,| Not Rated,81,,Jerzy Skolimowski,"Drama,Thriller","In a city square in Warsaw, a sleazy film director âauditionsâ a married actress in a hotel room; a hot dog vendor goes about his work while concealing a dark secret; a motorcycle-driving drug runner trysts with a clientâs wife; and a young man plo",,51,7.5,08/04/2016
https://www.metacritic.com/movie/11816,11/8/16,The Orchard,| TV-MA,104,Abby Linne,Alison Klayman,Documentary,"On the morning of Election Day 2016, Americans of all stripes woke up and went about living their lives. These were the hours leading up to Donald Trump's unexpected, earth-shaking victory, but, of course, no one knew that yet.",,62,,03/11/2017
