year,release_date,title,genre,international_box_office,domestic_box_office,worldwide_box_office,production_budget,,opening_weekend,theatre_count,avg run per theatre,runtime,keywords,creative_type,url
2000,January 1st,Bakha Satang,Drama,76576.00,n/a,76576.00,,,,,,129,,Contemporary Fiction,https://www.the-numbers.com/movie/Bakha-Satang-(S-Korea)
2001,January 12th,Antitrust,Thriller/Suspense,6900000.00,10965209.00,17865209.00,30000000.00,,5486209.00,2433,3.10,,,Contemporary Fiction,https://www.the-numbers.com/movie/Antitrust
2000,January 28th,Santitos,,,378562.00,,,,,,,105,,,https://www.the-numbers.com/movie/Santitos
2002,2002 (Wide) by ,Frank McKlusky C.I.,,,n/a,,,,,,,,,,https://www.the-numbers.com/movie/Frank-McKlusky-C-I
2002,January 25th,A Walk to Remember,Drama,4833792.00,41227069.00,46060861.00,11000000.00,,12177488.00,2411,5.30,,Coming of Age,Contemporary Fiction,https://www.the-numbers.com/movie/Walk-to-Remember-A
2002,June 21st,Zig Zag,,,1649.00,,,,1649.00,1,1.00,,,,https://www.the-numbers.com/movie/Zig-Zag
2002,May 10th,TakhtÃƒÂ© siah,Drama,,21324.00,,,,1500.00,5,2.00,,Foreign Language,,https://www.the-numbers.com/movie/Takhte-siah
2009,January 2nd,"Angry Monk: Reflections on Tibet, The",Documentary,,2125.00,,,,2125.00,1,1.00,,,Factual,https://www.the-numbers.com/movie/Angry-Monk-Reflections-on-Tibet-The
2002,June 7th,30 Years to Life,Comedy,,99023.00,,,,3376.00,1,3.30,,,,https://www.the-numbers.com/movie/30-Years-to-Life
2008,January 2nd,The Killing of John Lennon,Drama,,6975.00,,,,3077.00,1,3.00,,,Dramatization,https://www.the-numbers.com/movie/Killing-of-John-Lennon-The
2008,January 18th,Mad Money,Comedy,4375214.00,20668843.00,25044057.00,22000000.00,,7736452.00,2470,3.40,104,Heist,Contemporary Fiction,https://www.the-numbers.com/movie/Mad-Money
2008,January 18th,Little Chenier,Drama,,87939.00,,,,37318.00,17,1.70,,,Contemporary Fiction,https://www.the-numbers.com/movie/Little-Chenier
2008,February 1st,Over Her Dead Body,Comedy,14025947.00,7570127.00,21596074.00,10000000.00,,4025115.00,1977,2.30,95,Haunting,Fantasy,https://www.the-numbers.com/movie/Over-Her-Dead-Body
2008,February 15th,O Ano em Que Meus Pais SaÃƒÂ­ram de FÃƒÂ©rias,Drama,1800000.00,807117.00,2607117.00,,,80655.00,18,11.20,103,Soccer,Historical Fiction,https://www.the-numbers.com/movie/Ano-em-Que-Meus-Pais-Sairam-de-Ferias-O
2008,February 15th,120,Drama,1334204.00,n/a,1334204.00,,,,,,114,,Historical Fiction,https://www.the-numbers.com/movie/120-(Turkey)
2008,February 29th,The Other Boleyn Girl,Drama,51455013.00,26814957.00,78269970.00,40000000.00,,8203061.00,1166,5.90,115,Royalty,Historical Fiction,https://www.the-numbers.com/movie/Other-Boleyn-Girl-The
2008,February 29th,A Lawyer Walks into a Bar,Documentary,,5202.00,,,,985.00,1,10.00,,,Factual,https://www.the-numbers.com/movie/Lawyer-Walks-into-a-Bar-A
2008,March 8th,La Rondine,Concert/Performance,,49088.00,,,,,,,106,TV Movie,Factual,https://www.the-numbers.com/movie/Rondine-La
2011,December 30th,Jodaeiye Nader az Simin,Drama,17327677.00,7098492.00,24426169.00,800000.00,,59481.00,3,7.00,123,Dysfunctional Family,Contemporary Fiction,https://www.the-numbers.com/movie/Jodaeiye-Nader-az-Simin
2011,December 28th,Pariah,Drama,,769552.00,,,,48579.00,4,6.80,86,LGBTQ+,Contemporary Fiction,https://www.the-numbers.com/movie/Pariah-(2011)
2011,December 25th,War Horse,Drama,76932170.00,79883359.00,156815529.00,70000000.00,,7515402.00,2376,6.30,146,World War I,Contemporary Fiction,https://www.the-numbers.com/movie/War-Horse
2011,April 6th,Habemus Papam,Comedy,9917173.00,486902.00,10404075.00,,,31368.00,3,6.10,104,Religious,Contemporary Fiction,https://www.the-numbers.com/movie/Habemus-Papam
